DUNS_NUMBER;CAE1;NOME;MORADA;LOCALIDADE;COD_POSTAL;ENDERECO_POSTAL;CONCELHO;DISTRITO;TELEFONE;FAX;EMAIL;WEBSITE;NUMERO_CONTRIBUINTE;VENDAS;EMPREGADOS;FUNCAO_E7;TITULO_ACADEMICO_E7;NOME_E7
452359029;46421;IRMÃOS VILA NOVA, S.A.;AVENIDA INDÚSTRIAS, 511 - BRAGADELA;RIBEIRÃO;4760-706;RIBEIRÃO;VILA NOVA DE FAMALICÃO;BRAGA;252450100;252492646;salsa@salsajeans.com;www.salsajeans.com;501997784;57134795.23;126;Director de Marketing;;João Braga
449062397;41200;NEOCIVIL - CONSTRUÇÕES DO ALGARVE, S.A.;RUA CIDADE DE TORRES VEDRAS, CONDOMÍNIO DO INFANTE, LOJA 17;LAGOS;8600-744;LAGOS;LAGOS;FARO;282792225;282792224;lagos@neocivil.pt;www.neocivil.pt;500201145;56990371.43;98;Director de Marketing;Arqa.;Filipa Braz de Oliveira Ramalhão Fortunato Costa Lopes
449008325;10204;PASCOAL & FILHOS, S.A.;CAIS DOS BACALHOEIROS;GAFANHA DA NAZARÉ;3830-656;GAFANHA DA NAZARÉ;ÍLHAVO;AVEIRO;234390290;234390299;pascoal.f@mail.telepac.pt;www.pascoal.com;500211973;56983579.66;260;Director de Marketing;;Adelaide Coelho
449570944;46630;CENTROCAR - CENTRO DE EQUIPAMENTOS MECÂNICOS, S.A.;ESTRADA NACIONAL 10;ALVERCA DO RIBATEJO;2615-199;ALVERCA DO RIBATEJO;VILA FRANCA DE XIRA;LISBOA;219588790;219572539;centrocar@centrocar.pt;www.centrocar.pt;500061270;56946043.36;153;Director de Marketing;Dr.;Tiago Silva
449835537;42910;IRMÃOS CAVACO, S.A.;RUA VIANA DA MOTA, 8;SANTA MARIA DA FEIRA;4520-253;SANTA MARIA DA FEIRA;SANTA MARIA DA FEIRA;AVEIRO;256910110;256910115;icavaco@icsa.pt;www.icsa.pt;500606587;56609664.04;366;Director de Marketing;Enga.;Cláudia Alexandra Valente dos Santos Cavaco
338211170;47410;INFOFIELD - INFORMÁTICA, S.A.;ESPIDO, VIA NORTE;MAIA;4470-177;MAIA;MAIA;PORTO;214729737;229520950;feedback@vobis.pt;www.modelocontinente.pt;503930253;56413106.17;298;Director de Marketing;Dr.;Jose Fortunato
449060714;49310;METROPOLITANO DE LISBOA, E.P.E.;AVENIDA BARBOSA DU BOCAGE, 5;LISBOA;1000-070;LISBOA;LISBOA;LISBOA;213500100;213574908;metro.relpub@mail.telepac.pt;www.metrolisboa.pt;500192855;56290079;1705;Director de Marketing;Dr.;Miguel Matos Silva Rodrigues
449001890;20160;ARTENIUS PORTUGAL - INDÚSTRIA DE POLÍMEROS, S.A.;ESTRADA NACIONAL 246 - QUINTA DE SÃO VICENTE;BAIRRO DA RIBEIRA;7300-424;RIBEIRA DE NISA;PORTALEGRE;PORTALEGRE;245339200;245339212;selenis@selenis.com;www.selenis.com;500116458;56205831.76;40;Director de Marketing;Dr.;Rui Toscano
453504953;45310;BRIDGESTONE PORTUGAL, UNIPESSOAL, LDA;RUA FERNANDO PESSOA, LOTE 96A - CANTO DO PINHEIRO;ALCOCHETE;2890-118;ALCOCHETE;ALCOCHETE;SETÚBAL;212307350;212307391;isabel.pereira@bridgestone.eu;www.bridgestone.eu;502633050;55341981.56;63;Director de Marketing;;Andre Bettencourt
455123547;41200;BRITALAR - SOCIEDADE DE CONSTRUÇÕES, S.A.;AVENIDA DA LIBERDADE, 459 2º;BRAGA;4710-251;BRAGA;BRAGA;BRAGA;253204010;253204010;britalar.pt@mail.telepac.pt;www.britalar.pt;503263486;55307726.36;144;Director de Marketing;Eng.;Pedro Menezes
449059104;46341;BACARDI - MARTINI PORTUGAL, LDA;QUINTA DA BARRADA;CASTANHEIRA DO RIBATEJO;2600-659;CASTANHEIRA DO RIBATEJO;VILA FRANCA DE XIRA;LISBOA;263856600;263856638;bmportugal@bacardi.com;www.martini.com;500186260;55209255.43;103;Director de Marketing;Dr.;Cesar Vargas
452909195;70220;DELOITTE CONSULTORES, S.A.;PRAÇA DUQUE DE SALDANHA, 1 6º - EDIFICIO ATRIUM SALDANHA;LISBOA;1050-094;LISBOA;LISBOA;LISBOA;210423000;210423190;ptcorporatemarketing@deloitte.pt;www.deloitte.pt;502310090;55190287;372;Director de Marketing;Dr.;Jorge Manuel de Sousa Marrão
337628395;46331;LACTAÇORES - UNIÃO DAS COOPERATIVAS DE LACTICÍNIOS DOS AÇORES, UCRL;PARQUE INDUSTRIAL DO CABO, LOTE 8;VILA FRANCA DE XIRA;2600-242;VILA FRANCA DE XIRA;VILA FRANCA DE XIRA;LISBOA;263287090;263287098;lactacores@lactacores.pt;www.lactacores.pt;506402568;55071290.9;51;Director de Marketing;;Ângela Arrobas
